,car,no_sensed,walking,bicycling,air_or_hsr,bus,train,subway
Air,4966455.625158781,0.0,22772025.12260019,3195144.8511819276,74157942.46969725,0.0,0.0,0.0
Bikeshare,26354.71256988877,340.5021703956436,98362.11436813553,260007.06826730585,0.0,0.0,0.0,0.0
Bus,5580070.998022349,145318.95519054617,2248621.5269509866,688118.4741775353,0.0,106175.01467245157,147240.8256273014,0.0
"E-car, drove alone",0.0,0.0,6518.151739291117,0.0,0.0,0.0,0.0,0.0
Free Shuttle,132537.04261569653,0.0,18204.81638732512,36322.70869345017,0.0,0.0,0.0,0.0
"Gas Car, drove alone",80656862.48030885,2645505.4870875673,8762455.009304581,2062109.7388610179,158030.85078976306,123438.15783630291,0.0,0.0
"Gas Car, with others",151408883.52833068,3326287.7404599744,16651277.688607633,4308672.274679291,3220081.284554351,274605.461605124,11355.637674000012,0.0
Not a Trip,1143262.7124165262,3441254.2866354757,1534436.2021809078,265050.49446576176,168632.72086983998,0.0,0.0,0.0
Pilot ebike,28770291.430080086,1928949.4264850882,10285364.111572748,21916113.052215878,170458.93111838627,21581.47669098369,0.0,0.0
Regular Bike,1795998.4502952842,306901.65272738057,1754673.721034989,3960249.858494785,0.0,16000.02229895172,0.0,0.0
Scooter share,6183.87730671112,0.0,10956.159352450937,1094.9516900992862,0.0,0.0,0.0,0.0
Skate board,159359.11110622884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taxi/Uber/Lyft,1575779.904741517,11479.17174864304,262505.4159216878,89676.97105128027,0.0,0.0,0.0,0.0
Train,674357.2775688772,0.0,656384.1612647356,126156.09653858947,0.0,0.0,678236.8694015541,172763.59269421434
Walk,1669727.0063509825,123921.1952898301,6093117.485034964,877649.6545960389,5601.802755719012,52255.040918519735,1426.429203083925,0.0
