,car,walking,bicycling,no_sensed,bus,air_or_hsr,train
Air,19154.8733083634,886.7794590935865,0.0,0.0,0.0,1920366.1106180863,1228.6641953234075
Bus,582957.8080242017,156866.91964143098,6375.514984576111,4008.510033003315,264783.49081314396,0.0,0.0
"E-car, drove alone",369561.44184770115,6975.707135732658,0.0,345.82996693900344,0.0,0.0,0.0
"E-car, with others",302574.9110100589,33616.61404437308,0.0,0.0,0.0,0.0,0.0
"Gas Car, drove alone",11568452.336100215,1043988.4785915972,312557.42704795446,74799.24463882754,739.6426230628102,0.0,6660.0931958153415
"Gas Car, with others",11236853.442800324,694060.8820563474,920000.8519093975,587463.0205376574,18184.5370598714,702446.6688315441,0.0
Not a Trip,162418.98228299667,69285.913578121,4244.31747424168,25971.249212790277,0.0,175.06385025956087,0.0
Pilot ebike,2582883.9094766164,596602.836246907,2595355.2531188442,74515.00031611708,103520.96704859874,606.519076088147,0.0
Regular Bike,68688.17027748587,4118.09914448725,1643.0879627345005,0.0,0.0,0.0,0.0
Scooter share,3933.245008702609,2628.871172358153,15019.885802047269,0.0,0.0,0.0,0.0
Taxi/Uber/Lyft,401445.1143188082,7430.695165862541,10821.185359463845,0.0,0.0,0.0,0.0
Train,0.0,0.0,241592.97605663285,0.0,0.0,0.0,0.0
Walk,155050.7376324451,348544.6559226969,41540.22722452745,21218.70845491015,6481.665821775151,0.0,0.0
