,walking,car,train,no_sensed,bus,air_or_hsr,subway,bicycling
Air,2323946.258892883,0.0,0.0,0.0,0.0,3659406.3550539017,0.0,0.0
Bikeshare,6978.519294516634,0.0,0.0,0.0,0.0,0.0,0.0,14554.401671334901
Bus,62190.591963310864,368293.64258301177,0.0,15042.844859801584,29413.290058482944,0.0,0.0,27625.398922049404
"E-car, drove alone",9177.472320800323,397723.20285077003,0.0,0.0,0.0,0.0,0.0,0.0
"E-car, with others",0.0,422684.6375816727,0.0,8742.60823021394,0.0,0.0,0.0,9491.210894664187
Free Shuttle,3486.1195522971266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gas Car, drove alone",215764.2837090737,6139867.351691404,659.7832843425542,150739.46003776506,973.1067929564816,0.0,0.0,131348.66987081038
"Gas Car, with others",974443.8012392297,8685281.656638335,0.0,250108.37981202838,42421.731657190845,0.0,0.0,76577.42776839004
Not a Trip,10350.073053278029,156839.92981247476,0.0,2790.5617924590915,3474.24746156885,312.8734151820306,0.0,0.0
Pilot ebike,380328.4530650062,1177541.778450027,0.0,64161.64463999507,17556.872664085306,0.0,0.0,1175676.6471098086
Regular Bike,119473.30407455552,247160.0111704117,0.0,55233.62603260686,2484.4801813092054,4232.672331670934,0.0,488905.8880206462
Scooter share,22735.295544469573,14487.671790740225,0.0,0.0,0.0,0.0,0.0,0.0
Taxi/Uber/Lyft,89628.92150469996,349461.0900955355,0.0,0.0,0.0,0.0,28310.46574897314,8706.993840133724
Train,58776.98116581809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walk,297113.7926600024,125585.77767959543,0.0,2428.4528418304485,0.0,300.02216253042286,0.0,7560.283418023783
