gt_mode,walking,bicycling,car,bus,subway,train,no_sensed
Walk,28786.920945016085,783.7979849749681,12.709331409796079,221.1091852914626,106.12805639669799,177.02133438078226,3419.9127383183495
Regular Bike,558.1452780898821,10216.459240695272,0.0,0.0,0.0,0.0,232.02733257997048
Pilot ebike,0.20808928624423673,35854.48531105444,0.0,0.0,0.0,0.0,845.9988186121485
Scooter share,0.0,16261.36683919726,0.0,0.0,0.0,0.0,50.25775799154307
"Car, sensed",0.0,0.0,96589.70121970495,0.0,0.0,0.0,4062.268438899213
Bus,0.0,0.0,61607.297080445554,109155.11894001039,0.0,0.0,1542.0797553061932
Train,0.0,0.0,0.0,0.0,259101.19000000338,0.0,0.0
Train,2586.9689569488555,2126.607555659448,0.0,9840.173267488964,0.0,0.0,272.10001169770305
Train,0.0,0.0,0.0,0.0,0.0,569500.550226449,1037.1583982678362
no_gt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
