gt_mode,walking,bicycling,car,bus,subway,train,no_sensed
Walk,27646.324338334478,504.0314208139455,73.06516827856669,567.4799659909816,5.133105395819824,51.95709537063526,6629.437755778523
Regular Bike,208.3847058593461,17625.56975958163,0.0,0.0,0.0,0.0,4396.443187213648
Pilot ebike,24.369930535451395,34680.777946587834,0.0,0.0,0.0,0.0,1818.3292564782123
Scooter share,4209.805353345863,15025.026644095933,1880.7154152852781,0.0,0.0,0.0,3196.237714207265
"Car, sensed",1193.4950415196379,0.0,141622.77248758165,0.0,0.0,0.0,14964.355533440275
Bus,4241.503748227105,946.4580306236353,79289.96682537814,121911.33312233958,0.0,0.0,27.46012288371055
Train,0.0,0.0,0.0,0.0,255666.0942716153,0.0,0.0
Train,4493.78988583003,0.0,0.0,9109.174115513708,0.0,0.0,7.410781435983698
Train,21.456142297986332,178.08651186096512,94467.52943597839,0.0,0.0,475380.8568156928,231.90695492951215
no_gt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
