,WALKING,NO_GT_MIDDLE,CAR,BICYCLING,ESCOOTER,BUS,TRAIN,SUBWAY,E_BIKE,LIGHT_RAIL,NO_GT_START,NO_GT_END
WALKING,19870.9113071196,1689.0280971672325,2350.437232919316,740.3184926656377,710.5605633978121,22698.570369856996,16516.57733712927,17016.382433903214,1039.7788447923085,1973.552908104437,668.6426167103841,0.0
BICYCLING,10357.093876524217,3675.4904219953887,47002.94248216309,31243.952526456756,42817.018283985286,26523.5973761091,11008.711680918495,31419.72537685353,18131.560652812186,6527.806133927632,0.0,0.0
CAR,1839.4873912509502,4437.875963211081,280143.90134454006,143.96877587200015,0.0,69022.08566913847,108312.5949494784,25119.534974170907,20611.75640786461,2493.6583795342303,2193.649985908078,0.0
BUS,7340.228417509115,7546.2881310234325,0.0,0.0,9404.376185402089,322328.67126019706,122145.30433338777,17015.97380397612,30819.81201866937,8266.363673967411,0.0,0.0
SUBWAY,5999.19065690726,20110.718985840023,0.0,0.0,0.0,47071.54241048427,5343.4158559278,674563.6622067615,20510.557989839624,2740.225783504531,0.0,0.0
LIGHT_RAIL,0.0,63.498787293196074,0.0,0.0,0.0,0.0,55391.056462947425,0.0,0.0,2218.9871092545363,0.0,0.0
TRAIN,9631.52248507241,16701.93248948978,0.0,0.0,0.0,15760.561723922394,1243471.8750691067,53534.0759749215,0.0,22587.19287578392,0.0,138.88606042671017
AIR_OR_HSR,1357.9283197969926,172.40664826483408,0.0,0.0,0.0,13415.153737371293,0.0,23243.578671628624,5557.015602999265,0.0,0.0,0.0
NO_SENSED_START,3380.625061852971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO_SENSED_MIDDLE,4427.050093522355,666.3293917321014,5168.788318382872,747.5555706826644,232.15560413169806,6323.569200781785,9954.239428907234,7968.5480489061665,3355.7993370094046,2516.277239004863,95.5493845982798,0.0
NO_SENSED_END,12.100948164661531,0.0,0.0,0.0,0.0,162.4957310046666,15237.254532125371,0.0,0.0,0.0,0.0,0.0
