,WALKING,NO_GT_MIDDLE,CAR,BICYCLING,NO_GT_END,ESCOOTER,BUS,TRAIN,SUBWAY,E_BIKE,LIGHT_RAIL,NO_GT_START
WALKING,69396.41927146912,7806.951223611832,0.0,266.40013313293457,632.7940368652344,0.0,104.42643523216248,14.693495035171509,0.0,298.0474212169647,890.5828249454498,608.7416038513184
BICYCLING,3390.0645542144775,803.5806274414062,3671.98721909523,12505.090269804,36.19514179229736,16005.618468523026,0.0,0.0,0.0,21328.274270772934,1525.700115442276,0.0
CAR,1414.4347939491272,470.7619843482971,23018.0859541893,0.0,59.902000188827515,21.455490112304688,15094.89207291603,6809.79934835434,1994.5373270511627,0.0,653.5612459182739,180.49371218681335
BUS,2877.4167397022247,3289.6022398471832,0.0,0.0,0.0,38.75387978553772,59356.444439888,0.0,262.13885712623596,0.0,10707.781525850296,0.0
SUBWAY,870.8987638950348,1765.081428527832,0.0,0.0,0.0,0.0,0.0,0.0,55935.80620741844,0.0,0.0,0.0
LIGHT_RAIL,3.3348021507263184,0.013628005981445312,0.0,0.0,0.0,0.0,0.0,3427.9012660980225,0.0,0.0,0.0,0.0
TRAIN,1079.5942463874817,1888.0331580638885,0.0,0.0,0.0,0.0,0.0,87010.13787794113,0.0,0.0,0.0,0.0
AIR_OR_HSR,92.05998611450195,0.013179779052734375,0.0,0.0,0.0,0.0,0.0,0.0,1153.131334066391,0.0,0.0,0.0
NO_SENSED_START,4300.5048315525055,0.3485863208770752,2681.1813809871674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO_SENSED_MIDDLE,15674.889912366867,621025.7322556973,253.12874794006348,1258.421938419342,10.104999780654907,333.0400056838989,1317.9283423423767,1239.9377472400665,630.4769353866577,284.91880083084106,1039.8050260543823,102.15269303321838
NO_SENSED_END,5096.971570014954,0.16593456268310547,0.0,250.78111720085144,0.0,0.0,0.0,8171.637672185898,0.0,0.0,0.0,0.0
