,WALKING,NO_GT_MIDDLE,CAR,BICYCLING,ESCOOTER,BUS,TRAIN,SUBWAY,E_BIKE,LIGHT_RAIL,NO_GT_START,NO_GT_END
WALKING,17202.880001051664,4550.3057067618465,6637.834058728194,1292.9276524599736,6264.664861736499,33799.862143226215,22225.856057669185,39309.60738388004,6489.284704258156,917.3670153997664,100.13554803859549,51.08304235864489
BICYCLING,13028.929321552056,4923.834973302527,23752.368827287108,21389.877348621594,25059.212229833032,12789.395082823463,1354.6827932648214,25597.721841171806,19174.695571765056,0.0,117.66215284530684,0.0
CAR,6514.991782898868,9277.305764581975,287942.64730244246,0.0,2608.2846727842516,109387.918444535,342752.6638208109,2472.584383007459,38597.228003913595,8220.677350513593,0.0,0.0
BUS,1997.5085403585545,7725.510986775134,1528.1407723412215,0.0,13492.989543240881,313264.6110215318,26371.093412256432,15556.222058055544,34330.10741141258,0.0,0.0,0.0
SUBWAY,0.0,25580.30834995379,0.0,0.0,0.0,0.0,15941.956137727575,751570.4508388584,0.0,0.0,0.0,0.0
TRAIN,7586.3450762118455,25266.772832267474,0.0,0.0,0.0,28206.644085187087,1182168.7911402509,293.9551253899044,0.0,36459.707303963165,0.0,0.0
UNKNOWN,0.0,0.0,0.0,0.0,0.0,13542.421507348321,0.0,0.0,0.0,0.0,0.0,0.0
NO_SENSED_START,11439.74203008992,159.38937804806346,4166.48087694807,3575.1150980810125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO_SENSED_MIDDLE,1324.5241140308933,2615.751532691057,10039.509833115933,236.5377226377077,5738.959329322221,2835.0784897023987,10000.5963872712,15080.939860758583,1434.9651626373816,3726.3124332050356,0.0,0.0
NO_SENSED_END,0.0,0.0,0.0,0.0,0.0,518.2938041840316,2697.2153016170487,0.0,0.0,0.0,0.0,0.0
